Test Path,Expected Result,Minisat Speed (ns),Simulated Result,Simulated Cycles,Cycles Busy,Cycles Idle,Num Nodes,Topology,Node Bandwidth
tests/random/unsat/dummy_unsat.cnf,false,6625,true,11,117,983,100,"Grid(10, 10)",1000000
tests/random/unsat/51_10_0.cnf,false,12792,true,11,11,1089,100,"Grid(10, 10)",1000000
tests/random/unsat/51_10_1.cnf,false,5583,true,11,11,1089,100,"Grid(10, 10)",1000000
tests/random/unsat/51_10_2.cnf,false,8666,true,11,11,1089,100,"Grid(10, 10)",1000000
tests/random/sat/51_10_0.cnf,true,4416,true,11,11,1089,100,"Grid(10, 10)",1000000
tests/random/sat/51_10_1.cnf,true,3583,true,11,11,1089,100,"Grid(10, 10)",1000000
tests/random/sat/51_10_2.cnf,true,11500,true,11,11,1089,100,"Grid(10, 10)",1000000
tests/random/unsat/dummy_unsat.cnf,false,2458,false,6,12,588,100,"Grid(10, 10)",1000000
tests/random/unsat/51_10_0.cnf,false,6208,true,11,11,1089,100,"Grid(10, 10)",1000000
tests/random/unsat/51_10_1.cnf,false,4042,true,11,11,1089,100,"Grid(10, 10)",1000000
tests/random/unsat/51_10_2.cnf,false,3625,true,11,11,1089,100,"Grid(10, 10)",1000000
tests/random/sat/51_10_0.cnf,true,2959,true,11,11,1089,100,"Grid(10, 10)",1000000
tests/random/sat/51_10_1.cnf,true,2458,true,11,11,1089,100,"Grid(10, 10)",1000000
tests/random/sat/51_10_2.cnf,true,2583,true,11,11,1089,100,"Grid(10, 10)",1000000
tests/random/unsat/dummy_unsat.cnf,false,2583,false,6,12,588,100,"Grid(10, 10)",1000000
tests/random/unsat/51_10_0.cnf,false,5625,true,11,11,1089,100,"Grid(10, 10)",1000000
tests/random/unsat/51_10_1.cnf,false,2250,true,11,11,1089,100,"Grid(10, 10)",1000000
tests/random/unsat/51_10_2.cnf,false,2833,true,11,11,1089,100,"Grid(10, 10)",1000000
tests/random/sat/51_10_0.cnf,true,2500,true,11,11,1089,100,"Grid(10, 10)",1000000
tests/random/sat/51_10_1.cnf,true,2042,true,11,11,1089,100,"Grid(10, 10)",1000000
tests/random/sat/51_10_2.cnf,true,2417,true,11,11,1089,100,"Grid(10, 10)",1000000
tests/random/unsat/dummy_unsat.cnf,false,3500,false,6,12,588,100,"Grid(10, 10)",1000000
tests/random/unsat/51_10_0.cnf,false,6459,true,11,11,1089,100,"Grid(10, 10)",1000000
tests/random/unsat/51_10_1.cnf,false,2625,true,11,11,1089,100,"Grid(10, 10)",1000000
tests/random/unsat/51_10_2.cnf,false,3291,true,11,11,1089,100,"Grid(10, 10)",1000000
tests/random/sat/51_10_0.cnf,true,3125,true,11,11,1089,100,"Grid(10, 10)",1000000
tests/random/sat/51_10_1.cnf,true,2250,true,11,11,1089,100,"Grid(10, 10)",1000000
tests/random/sat/51_10_2.cnf,true,3625,true,11,11,1089,100,"Grid(10, 10)",1000000
tests/random/unsat/dummy_unsat.cnf,false,3083,false,6,12,588,100,"Grid(10, 10)",1000000
tests/random/unsat/dummy_unsat.cnf,false,2208,false,6,12,588,100,"Grid(10, 10)",1000000
tests/random/unsat/dummy_unsat.cnf,false,2583,false,5,10,490,100,"Grid(10, 10)",1000000
tests/random/unsat/dummy_unsat.cnf,false,2375,false,3,7,293,100,"Grid(10, 10)",1000000
tests/random/unsat/dummy_unsat.cnf,false,2458,false,3,7,293,100,"Grid(10, 10)",1000000
tests/random/unsat/51_10_0.cnf,false,7042,false,39,74,3826,100,"Grid(10, 10)",1000000
tests/random/unsat/51_10_1.cnf,false,3333,false,43,53,4247,100,"Grid(10, 10)",1000000
tests/random/unsat/51_10_2.cnf,false,3583,false,20,39,1961,100,"Grid(10, 10)",1000000
tests/random/sat/51_10_0.cnf,true,3166,false,39,96,3804,100,"Grid(10, 10)",1000000
tests/random/sat/51_10_1.cnf,true,2750,false,26,47,2553,100,"Grid(10, 10)",1000000
tests/random/sat/51_10_2.cnf,true,3083,false,29,68,2832,100,"Grid(10, 10)",1000000
tests/random/unsat/dummy_unsat.cnf,false,2208,false,3,7,293,100,"Grid(10, 10)",1000000
tests/random/unsat/51_10_0.cnf,false,5708,false,39,74,3826,100,"Grid(10, 10)",1000000
tests/random/unsat/51_10_1.cnf,false,2500,false,43,53,4247,100,"Grid(10, 10)",1000000
tests/random/unsat/51_10_2.cnf,false,2750,false,20,39,1961,100,"Grid(10, 10)",1000000
