filename,result,time,num_vars,num_clauses,conflicts,decisions,propagations
91_20_2.cnf,SAT,0.00104,20,85,3,7,45 
91_20_3.cnf,SAT,0.000929,20,80,6,14,51
91_20_1.cnf,SAT,0.00088,20,84,2,6,39
91_20_0.cnf,SAT,0.000931,20,82,1,4,23
91_20_4.cnf,SAT,0.000895,20,87,3,6,39
91_20_5.cnf,SAT,0.000931,20,85,1,6,26
91_20_7.cnf,SAT,0.001009,20,85,6,12,65
91_20_6.cnf,SAT,0.000864,20,79,0,1,18
91_20_8.cnf,SAT,0.000832,20,81,1,6,23
91_20_9.cnf,SAT,0.000794,20,86,4,10,54
91_20_2.cnf,UNSAT,0.00101,20,83,4,3,28
91_20_3.cnf,UNSAT,0.000819,20,81,4,4,20
91_20_1.cnf,UNSAT,0.000995,20,84,8,7,50
91_20_0.cnf,UNSAT,0.000824,20,89,9,8,64
91_20_4.cnf,UNSAT,0.000955,20,87,4,3,48
91_20_5.cnf,UNSAT,0.000932,20,81,2,1,12
91_20_7.cnf,UNSAT,0.000823,20,80,2,1,15
91_20_6.cnf,UNSAT,0.000982,20,86,3,2,22
91_20_8.cnf,UNSAT,0.000862,20,87,9,9,75
91_20_9.cnf,UNSAT,0.000998,20,81,14,14,118
